방문자 연령,방문자 비율(남성),방문자 비율(여성)
70세 이상,2.6,2.4
60~69세,8.0,6.4
50~59세,11.1,9.2
40~49세,10.4,8.1
30~39세,9.7,8.6
20~29세,9.0,8.3
10~19세,2.5,2.3
0~9세,0.6,0.7
