순위,분류,관련 키워드,언급건수
246,자녀,젖먹이,5
246,자녀,외아들,5
246,자녀,작은놈,5
261,부모님,시어른,4
261,연인,여친님,4
261,자녀,첫째딸,4
261,기타가족,맏며느리,4
261,부모님,시아부지,4
261,부모님,외할매,4
261,배우자,마님,4
261,배우자,주말부부,4
261,부모님,할마,4
261,자녀,울아이,4
261,부모님,시아빠,4
261,싱글,독신,4
261,자녀,작은녀석,4
261,자녀,저희애,4
261,친구,여사친,4
261,기타가족,큰며느리,4
261,부모님,외할무니,4
261,회사동료,회사직원,4
279,기타가족,덩생,3
279,회사동료,직장상사,3
279,배우자,저희남편,3
279,배우자,안사람,3
279,부모님,시어미,3
279,부모님,친정맘,3
279,자녀,울아이들,3
279,자녀,울딸,3
279,자녀,울애들,3
279,학생,재수생,3
279,부모님,양가부모님,3
279,부모님,친정아부지,3
291,연인,썸녀,2
291,배우자,울랑,2
291,자녀,저희아들,2
291,기타가족,외손자,2
291,자녀,삼둥이,2
291,배우자,애기아빠,2
291,자녀,저희애들,2
291,배우자,우리와이프,2
291,자녀,우리집애,2
291,기타가족,맏사위,2
291,친구,프렌드,2
291,부모님,할버지,2
291,자녀,딸자식,2
291,부모님,외할머님,2
305,배우자,마느님,1
305,배우자,우리마눌,1
305,연인,약혼녀,1
305,기타가족,첫손주,1
305,배우자,남푠님,1
305,부모님,외할부지,1
305,자녀,여식,1
305,기타가족,사돈댁,1
305,배우자,울서방,1
305,배우자,아이들엄마,1
305,배우자,영감탱이,1
305,부모님,친정엄니,1
305,친구,학교친구,1
305,기타가족,며늘,1
305,부모님,셤니,1
305,싱글,나홀로족,1
305,싱글,싱글족,1
305,자녀,외동아들,1
305,자녀,첫째아들,1
305,배우자,애들아빠,1
305,배우자,울랑이,1
305,부모님,빙장어른,1
305,싱글,혼행,1
305,자녀,초보엄마,1
305,친구,여행친구,1
305,자녀,첫딸,1
