순위,분류,관련 키워드,언급건수
202,체험,보트체험,2
202,레포츠,웨이크보드,2
202,체험,전통혼례체험,2
202,체험,교복체험,2
202,체험,한옥숙박체험,2
202,휴식/힐링,근교여행,2
202,기타,청춘여행,2
202,체험,활쏘기체험,2
228,레포츠,버기카,1
228,체험,동물먹이주기체험,1
228,체험,동물체험,1
228,체험,딸기체험,1
228,체험,야경투어,1
228,체험,요트체험,1
228,체험,타종체험,1
228,체험,해녀체험,1
228,휴식/힐링,숲캉스,1
228,체험,공방체험,1
228,체험,클라이밍체험,1
228,체험,한방족욕체험,1
228,기타,동남아여행,1
228,레포츠,스노우보드,1
228,체험,농장체험,1
228,레포츠,naui,1
228,레포츠,스킨스쿠버다이빙,1
228,체험,염색체험,1
228,체험,텃밭체험,1
228,휴식/힐링,낭만여행,1
228,레포츠,심해잠수,1
228,체험,목장체험,1
228,레포츠,cmas,1
228,레포츠,ssi,1
228,체험,다이빙체험,1
228,체험,민속놀이체험,1
228,체험,스쿠버체험,1
228,체험,알파카체험,1
228,체험,액티비티체험,1
228,체험,호텔체험,1
228,휴식/힐링,홈캉스,1
228,기타,무전여행,1
228,레포츠,견지낚시,1
228,레포츠,써핑,1
228,체험,사격체험,1
228,휴식/힐링,농촌여행,1
228,기타,데이트스냅,1
228,기타,미국여행,1
228,레포츠,수상자전거,1
228,체험,도서관체험,1
228,체험,현지인체험,1
228,기타,야외취침,1
228,레포츠,스쿼시,1
228,휴식/힐링,눈꽃여행,1
228,기타,도시여행,1
228,레포츠,아쿠아로빅,1
228,체험,담력체험,1
