지점,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(hr)
포천,2017-01-04 12:00,6.1,66.3,1,0,,,45.6,0,0
포천,2017-01-04 13:00,7.5,155.8,1.1,0,,,36.7,0,0
포천,2017-01-04 14:00,8.5,73.2,1.8,0,,,25.9,0,0
포천,2017-01-04 15:00,8.8,104,2.1,0,,,6.8,0,0
포천,2017-01-04 16:00,8.2,83.6,2.2,0,,,6,0,0
포천,2017-01-04 17:00,6.5,0,0.3,0,,,18,0,0
포천,2017-01-04 18:00,2.6,0,0.2,0,,,39.7,0,0
포천,2017-01-04 19:00,0.7,307.2,0.8,0,,,50.1,0,0
포천,2017-01-04 20:00,-0.3,45.5,0.6,0,,,54.1,0,0
포천,2017-01-04 21:00,-2.4,0,0.1,0,,,65.1,0,0
포천,2017-01-04 22:00,-2.4,0,0.2,0,,,67.6,0,0
포천,2017-01-04 23:00,-3,0,0.3,0,,,68.4,0,0
포천,2017-01-05 0:00,-3.6,208.8,0.8,0,,,70.4,0,0
포천,2017-01-05 1:00,-3.5,0,0.1,0,,,63.6,0,0
포천,2017-01-05 2:00,-4.2,0,0.3,0,,,66.9,0,0
포천,2017-01-05 3:00,-3.9,0,0.2,0,,,67.6,0,0
포천,2017-01-05 4:00,-4.4,0,0.2,0,,,71.7,0,0
포천,2017-01-05 5:00,-4.1,0,0,0,,,71.8,0,0
포천,2017-01-05 6:00,-4.5,0,0.3,0,,,72.8,0,0
포천,2017-01-05 7:00,-4.3,0,0,0,,,72,0,0
포천,2017-01-05 8:00,-4.1,0,0.3,0,,,72.1,0,0
포천,2017-01-05 9:00,-1.8,0,0.2,0,,,63.3,0,0
포천,2017-01-05 10:00,1.8,76.2,2.5,0,,,44.8,0,0
포천,2017-01-05 11:00,3.5,82.7,3,0,,,44.6,0,0
포천,2017-01-05 12:00,5.4,57.6,2.7,0,,,39.4,0,0
포천,2017-01-05 13:00,6.7,28.5,2.3,0,,,34.9,0,0
포천,2017-01-05 14:00,8.6,87.4,1.1,0,,,28,0,0
포천,2017-01-05 15:00,8.1,94.8,2.6,0,,,29.7,0,0
포천,2017-01-05 16:00,7.8,85.1,2,0,,,30.3,0,0
포천,2017-01-05 17:00,7,68.5,0.9,0,,,32.5,0,0
포천,2017-01-05 18:00,5.6,24.2,1.2,0,,,38.9,0,0
포천,2017-01-05 19:00,5.7,93.3,3.1,0,,,37.6,0,0
포천,2017-01-05 20:00,5.4,90.6,3.9,0,,,38,0,0
포천,2017-01-05 21:00,5,83.8,1.8,0,,,38.7,0,0
포천,2017-01-05 22:00,5.1,59.8,3.1,0,,,37.3,0,0
포천,2017-01-05 23:00,4.8,64.4,2.5,0,,,33.3,0,0
포천,2017-01-06 0:00,4.2,64.3,2.6,0,,,36.1,0,0
포천,2017-01-06 1:00,2.3,36.4,2.8,0,,,45.8,0,0
포천,2017-01-06 2:00,2.1,38.8,3,0,,,45.4,0,0
포천,2017-01-06 3:00,1.5,29,2.1,0,,,48.3,0,0
포천,2017-01-06 4:00,2.5,19.9,1.4,0,,,43,0,0
포천,2017-01-06 5:00,1.7,40.5,2.1,0,,,49.2,0,0
포천,2017-01-06 6:00,1.3,41.1,2.4,0,,,53.1,0,0
포천,2017-01-06 7:00,1.1,45.7,2.2,0,,,58.2,0,0
포천,2017-01-06 8:00,-0.3,0,0,0,,,65.1,0,0
포천,2017-01-06 9:00,0.7,0,0,0,,,58.5,0,0
포천,2017-01-06 10:00,4.1,0,0.3,0,,,49.3,0,0
포천,2017-01-06 11:00,7,0,0.4,0,,,31.9,0,0
포천,2017-01-06 12:00,8,249.6,0.7,0,,,28.4,0,0
포천,2017-01-06 13:00,9.2,128.4,1.1,0,,,28.1,0,0
포천,2017-01-06 14:00,9.7,200.4,3.2,0,,,28.3,0,0
포천,2017-01-06 15:00,10.5,230.1,2.3,0,,,22,0,0
포천,2017-01-06 16:00,9.8,180.2,1.5,0,,,21.8,0,0
포천,2017-01-06 17:00,8.2,235.5,1.9,0,,,32.2,0,0
포천,2017-01-06 18:00,4.3,334.7,2.1,0,,,52,0,0
포천,2017-01-06 19:00,2.8,359.6,0.9,0,,,55.4,0,0
