분류,관련 키워드,언급건수
가족,가족엄마오빠언니동생동서이모가정패밀리누나형제조카막내식구장인자매사촌효자형님친척이모님형삼촌남매온가족며느리시댁장모고모사위손자형부남동생여동생막둥이사촌동생사돈손녀손주이모님들외삼촌효녀친지친정식구시누친정식구들올케처제혈육울언니시누이새언니덩생가족모두차남시댁식구시댁식구들태아숙부손주들시동생숙모외손자손자들맏며느리외손주며늘사돈댁장손큰며느리외손녀손자손녀시댁어른육촌막내며느리맏사위첫손주아빠부모부모님어머니아버지할머니할아버지엄빠엄마아빠어머님모녀아부지아버님외할머니시부울엄마장모님시어머니시부모아비시부모님어무니할무니장인어른할매친정엄마할머님시아버지엄니조부모외할아버지할부지시어머님할아부지할배어무이시모시아버님친정아빠친정어머니증조부시엄마시엄니친정아버지할아버님시아빠시아부지양가부모님외할매시어미외할무니외할부지시어른할멈외할머님증조모할마외할배외할버지어머니아버지함무니기러기아빠친정아부지할버지예비시엄마외할아버님셤니친정맘아들애들학생청소년자녀딸자식딸아이미성년자아드님따님장남딸래미울애외동울애기딸내미딸램큰아들우리딸우리애워킹맘우리아이큰아이우리아들큰애큰딸아들래미아들램장녀우리아이들큰놈둘째딸아들내미외동딸울아들울아드님우리애들둥이들맏아들아들녀석아들딸둘째아들울아이울아이들손녀딸저희아이울딸삼둥이울애들저희애차녀첫째딸첫째아이저희딸직장맘맏딸저희애들첫째아들외아들둘째아이딸냄초보맘작은녀석초보엄마저희아들젖먹이둥이맘외동아들작은놈첫아이셋째아이우리집애여식일하는엄마울집애아들자식외둥이쌍둥이맘첫딸울따님울둥이남편아내신랑부인와이프남편이랑배우자신부서방남편님남펴니집사람남표니울신랑마눌남푠예랑이마누라주말부부마눌님와이프님애엄마아자씨예신마님우리신랑남의편새색시영감님저희남편애아빠낭군님남푠님울서방저희신랑안사람애들엄마울랑아이아빠우리마눌애기아빠울랑이우리와이프울와이프영감탱이애들아빠아내느님울마눌,140325
친구,친구친구들지인칭구프렌동창절친룸메베프남사친룸메이트프렌드여사친여행친구여자사람친구학교친구,36486
싱글,혼자싱글혼자서홀로나혼자나홀로독신혼행싱글남싱글족나홀로족혼자남,17346
회사동료,직원직원들대리부장동료임원차장사원직장동료여직원회사사람회사동료회사직원직장상사회사선배회사후배,15118
연인,커플연인남자친구남친여자친구남친이여친애인남치니예랑남친님썸남여친님예비신랑예비신부남친몬약혼자보이프렌드썸녀걸프렌드피앙세피앙새약혼녀,12691
학생,초등학생대학생초딩고등학생중학생고딩중딩고3중2중3중1고2고삼초1초6초3초2초4초5재수생,4817
