분류,관련 키워드,언급건수
가족,가족엄마가정오빠이모동생언니동서형제효자식구장인이모님온가족조카막내자매누나친척사촌패밀리며느리시댁삼촌형님손자형사위장모고모시동생친지손주손녀남매형부남동생막둥이여동생이모님들사촌동생외삼촌손주들혈육가족모두차남친정식구시누친정식구들사돈태아숙부숙모장손외손녀시댁식구시댁식구들올케효녀처제시누이손자들육촌울언니새언니외손주손자손녀맏며느리큰며느리덩생외손자맏사위첫손주사돈댁며늘부모부모님아빠어머니아버지할머니할아버지시부어머님엄빠아버님엄마아빠할매아부지시어머니할배외할머니장모님시부모시부모님친정엄마아비조부모모녀울엄마시어머님할무니외할아버지어무니시아버지엄니할머님시모어무이친정아버지장인어른할부지할아부지시아버님증조부친정어머니친정아빠시엄마할멈증조모할아버님시엄니시어른시아부지외할매할마시아빠외할무니시어미친정맘양가부모님친정아부지할버지외할머님외할부지친정엄니셤니빙장어른학생아들청소년애들자녀둥이들딸자식외동아드님큰아들딸아이큰아이장남딸내미따님딸래미딸램우리아이큰놈우리딸큰딸미성년자맏아들우리아이들울애장녀우리애우리아들울애기둘째아들아들램워킹맘아들내미아들래미아들녀석저희아이맏딸둘째딸둘째아이울아들외동딸우리애들큰애첫째아이손녀딸딸냄저희딸아들딸차녀첫아이젖먹이외아들작은놈첫째딸울아이작은녀석저희애울아이들울딸울애들저희아들삼둥이저희애들우리집애딸자식여식외동아들첫째아들초보엄마첫딸남편신랑아내부인와이프남편이랑배우자신부새색시서방집사람남편님남표니남푠마눌마누라마눌님우리신랑울신랑남펴니와이프님아자씨예랑이영감님남의편애아빠예신애엄마저희신랑마님주말부부저희남편안사람울랑애기아빠우리와이프마느님우리마눌남푠님울서방아이들엄마영감탱이애들아빠울랑이,55405
친구,친구친구들지인동창칭구절친프렌룸메베프룸메이트남사친여사친프렌드학교친구여행친구,13943
회사동료,직원직원들동료대리임원부장차장사원여직원직장동료회사동료회사사람회사직원직장상사,9733
연인,연인남친커플남자친구여자친구애인남친이여친남치니썸남예랑남친님예비신부남친몬예비신랑여친님썸녀약혼녀,4249
싱글,혼자혼자서홀로싱글나홀로나혼자독신나홀로족싱글족혼행,3171
학생,초등학생대학생고등학생중학생초딩고3고딩고삼초3중3중딩중2중1고2초6초1초2초4초5재수생,1889
